rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p3_opportunity_weight,p4_choice_weight,p5_popularity,included_in_generated,generated_count
1,60102,1,,Randall Cho,Concerned Brother,7,Ally,7.220161531217781,7.220161531217781,1.0,True,1
2,60103,1,,Tommy Malloy,,7,,7.220161531217781,7.220161531217781,1.0,True,1
3,60117,1,,One-Two Punch,,7,,7.220161531217781,6.086435364017736,0.8429777280884703,True,2
4,60105,1,,Boxing Gloves,,7,Hand x2,7.220161531217781,5.65819095107555,0.7836654244660947,True,2
5,60117,2,,One-Two Punch,,7,,7.220161531217781,5.542973535138461,0.7677076906343896,True,2
6,01025,1,,Vicious Blow,,1,,39.35535245451249,29.644826979317877,0.7532603605464292,True,2
7,60111,1,,Clean Them Out,,7,,7.220161531217781,5.438100456286369,0.7531826584174991,True,2
8,60116,1,,Monster Slayer,,7,,7.220161531217781,5.382423328776925,0.7454713174359001,True,2
9,60105,2,,Boxing Gloves,,7,Hand x2,7.220161531217781,5.276603127326265,0.7308151077384957,True,2
10,60112,1,,Counterpunch,,7,,7.220161531217781,5.1319026352117145,0.7107739367080542,True,2
11,01000,1,,Random Basic Weakness,,1,,39.35535245451249,27.596807383343688,0.7012211976818272,False,0
12,60116,2,,Monster Slayer,,7,,7.220161531217781,5.021988968242004,0.6955507777116139,True,2
13,01025,2,,Vicious Blow,,1,,39.35535245451249,27.220776183274655,0.6916664312620967,True,2
14,60111,2,,Clean Them Out,,7,,7.220161531217781,4.83243179700147,0.669296909232225,True,2
15,60114,1,,"""Get over here!""",,7,,7.220161531217781,4.646823410088157,0.6435899515539516,True,2
16,60112,2,,Counterpunch,,7,,7.220161531217781,4.481453320288094,0.6206860194071356,True,2
17,60115,1,,Glory,,7,,7.220161531217781,4.353882731029918,0.6030173580196307,True,2
18,11021,1,,Crowbar,,12,Hand,9.178837521403121,5.524735064093664,0.6018992112248575,True,1
19,08020,1,,Toe to Toe,,9,,30.770946605544058,17.754777174071002,0.5769980820437969,True,2
20,60118,1,,Stand Together,,7,,7.220161531217781,4.012201254552406,0.5556941125492648,True,2
21,60115,2,,Glory,,7,,7.220161531217781,3.96400271302662,0.5490185636273481,True,2
22,11021,2,,Crowbar,,12,Hand,9.178837521403121,4.878476560692303,0.5314917656311837,False,1
23,60114,2,,"""Get over here!""",,7,,7.220161531217781,3.8252653556956644,0.5298032930643423,True,2
24,10023,1,,Wolf Mask,The Moon's Sire,11,Mask,19.966825085063988,10.262166189581722,0.5139608398361865,True,1
25,01091,1,,Overpower,,1,,39.35535245451249,18.21971965037297,0.4629540459949278,True,2
26,60118,2,,Stand Together,,7,,7.220161531217781,3.1284148712753015,0.4332887647664097,True,2
27,60110,1,,Safeguard,,7,,7.220161531217781,2.9001255155889574,0.40167044782165845,True,1
28,01091,2,,Overpower,,1,,39.35535245451249,15.362987381045563,0.39036589492629586,True,2
29,08020,2,,Toe to Toe,,9,,30.770946605544058,11.777814324489801,0.38275762118958573,True,2
30,60107,1,,Grete Wagner,The Purifier,7,Ally,7.220161531217781,2.5113902072881578,0.34783019693253,True,1
31,01088,1,,Emergency Cache,,1,,39.35535245451249,12.495797090540712,0.31751201072290086,True,1
32,06111,1,,Daring,,6,,36.46789138728736,11.36293401781784,0.31158736043013824,True,1
33,11024,1,,Ready for Anything,,12,,9.178837521403121,2.8571428571428568,0.3112750226246624,True,2
34,11024,2,,Ready for Anything,,12,,9.178837521403121,2.8571428571428568,0.3112750226246624,True,2
