rank,canonical_id,card_index,option_index,name,subname,cycle,slot,p5_popularity,included_in_generated,generated_count
1,09019,1,,Bonnie Walsh,Loyal Assistant,10,Ally,1.0,True,1
2,09020,1,,Burden of Leadership,,10,,1.0,True,1
3,01000,1,,Random Basic Weakness,,1,,0.8203815092410914,False,0
4,03158,1,,Calling in Favors,,3,,0.6442671740680523,True,2
5,09028,1,,Motivational Speech,,10,,0.5879526465780293,True,2
6,03158,2,,Calling in Favors,,3,,0.5792146096772676,True,2
7,09028,2,,Motivational Speech,,10,,0.5266560294682313,True,2
8,01088,1,,Emergency Cache,,1,,0.4576781165059653,True,2
9,08125,1,,In the Thick of It,,9,,0.42586178224276267,False,0
10,01048,1,,Leo De Luca,The Louisiana Lion,1,Ally,0.42451649277459064,True,1
11,01088,2,,Emergency Cache,,1,,0.38894279014075844,True,2
12,01033,1,,Dr. Milan Christopher,Professor of Entomology,1,Ally,0.38435064472560954,True,1
13,02020,1,,Laboratory Assistant,,2,Ally,0.36056878880829024,True,1
14,02033,1,,Peter Sylvestre,Big Man on Campus,2,Ally,0.32586341156274773,True,1
15,01021,1,,Guard Dog,,1,Ally,0.3090991453815075,True,1
16,02149,1,,Art Student,,2,Ally,0.28326406974723745,True,1
17,01018,1,,Beat Cop,,1,Ally,0.2766048115164568,True,1
18,60107,1,,Grete Wagner,The Purifier,7,Ally,0.2713472965366879,True,1
19,05313,1,,Hallowed Mirror,,5,Accessory,0.22951203939926842,True,1
20,10069,1,,Bank Job,,11,,0.22687686813622499,False,0
21,08032,1,,Jeremiah Kirby,Arctic Archaeologist,9,Ally,0.22505503488458153,True,1
22,08083,1,,Medical Student,,9,Ally,0.21572436334802414,True,1
23,04201,1,,Take Heart,,4,,0.20977612702481696,True,2
24,03228,1,,Inspiring Presence,,3,,0.20780566910571954,True,2
25,05110,1,,Crack the Case,,5,,0.20491305036689852,False,0
26,03228,2,,Inspiring Presence,,3,,0.19966948490843026,True,2
27,06155,1,,Tetsuo Mori,Too Noble for His Own Good,6,Ally,0.1979840298282317,True,1
28,04201,2,,Take Heart,,4,,0.19466607011324735,True,2
29,02020,2,,Laboratory Assistant,,2,Ally,0.19229945167764903,False,1
30,07023,1,,Deep Knowledge,,8,,0.1909883821702469,False,0
31,07023,2,,Deep Knowledge,,8,,0.1909883821702469,False,0
32,01037,1,,Working a Hunch,,1,,0.19080250712260968,False,0
33,01021,2,,Guard Dog,,1,Ally,0.18945094175430383,False,1
34,01093,1,,Unexpected Courage,,1,,0.1870773752795792,True,2
35,60118,1,,Stand Together,,7,,0.18514865597401678,True,2
36,02270,1,,A Chance Encounter,,2,,0.18378274249222257,True,1
37,05151,1,,Alice Luxley,Fearless Flatfoot,5,Ally,0.18330531468430272,False,0
38,01076,1,,Stray Cat,,1,Ally,0.18107342541040702,False,0
39,11068a,1,,The Great Work,Divide and Unite,12,,0.172935809478869,False,0
40,11071,1,,Spectral Shield,,12,,0.172935809478869,False,0
41,11071,2,,Spectral Shield,,12,,0.172935809478869,False,0
42,60118,2,,Stand Together,,7,,0.17217632413949813,True,2
43,01025,1,,Vicious Blow,,1,,0.1703629714662269,True,1
44,02149,2,,Art Student,,2,Ally,0.16862661144072616,False,1
45,01093,2,,Unexpected Courage,,1,,0.16453167920245726,True,2
46,01048,2,,Leo De Luca,The Louisiana Lion,1,Ally,0.1643703673361089,False,1
47,10069,2,,Bank Job,,11,,0.16413573129271428,False,0
48,06162,1,,Gregory Gry,Muckraker,6,Ally,0.16015324449203736,False,0
