Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
1,4,1.0,,,,,,,,,,,
2,14,0.79187,0.20813,,,,,,,,,,
3,21,0.591468,0.262778,0.145754,,,,,,,,,
4,66,0.445241,0.219721,0.190288,0.144751,,,,,,,,
5,2081,0.396958,0.147739,0.122731,0.104667,0.227904,,,,,,,
6,452,0.299617,0.137671,0.116062,0.103977,0.244132,0.098541,,,,,,
7,426,0.32352,0.132135,0.095584,0.085912,0.222261,0.039614,0.100975,,,,,
8,320,0.271728,0.11158,0.098691,0.088121,0.216846,0.055064,0.072674,0.085297,,,,
9,344,0.274958,0.114259,0.087112,0.077767,0.202926,0.058132,0.066196,0.033461,0.085188,,,
10,314,0.254332,0.104102,0.095143,0.080208,0.172981,0.046016,0.06452,0.034272,0.05097,0.097455,,
11,247,0.240224,0.094671,0.074171,0.075263,0.164285,0.049863,0.056839,0.031992,0.057724,0.058181,0.096787,
12,145,0.181435,0.062185,0.065478,0.066065,0.166715,0.092555,0.068319,0.040323,0.06791,0.050987,0.044644,0.093384
