Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
8,3,0.136842,0.084211,0.042105,0.063158,0.094737,0.094737,0.021053,0.463158,,,,
9,1,0.147059,0.029412,0.0,0.058824,0.029412,0.088235,0.117647,0.5,0.029412,,,
10,7,0.275337,0.071789,0.133314,0.044692,0.091378,0.041935,0.144135,0.019355,0.054927,0.123138,,
11,561,0.19919,0.063817,0.054519,0.051348,0.041969,0.039636,0.052287,0.060496,0.046353,0.071889,0.318495,
12,57,0.147193,0.05414,0.040384,0.055959,0.030955,0.030758,0.036126,0.038534,0.042818,0.078024,0.350745,0.094363
