Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
3,1,0.612903,0.258065,0.129032,,,,,,,,,
8,7,0.22943,0.098809,0.106076,0.05445,0.196939,0.093896,0.105396,0.115004,,,,
9,4,0.314951,0.080882,0.098039,0.066176,0.129902,0.093137,0.110294,0.039216,0.067402,,,
10,3,0.279762,0.059524,0.059524,0.107143,0.130952,0.083333,0.047619,0.119048,0.029762,0.083333,,
11,21,0.261091,0.078354,0.076432,0.079111,0.07542,0.089854,0.085619,0.061093,0.046111,0.059253,0.087661,
12,591,0.20214,0.055047,0.059381,0.074919,0.043047,0.060328,0.073695,0.02545,0.046412,0.061745,0.048788,0.249049
