Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
1,1908,1.0,,,,,,,,,,,
2,1567,0.786926,0.213074,,,,,,,,,,
3,933,0.670029,0.189049,0.140921,,,,,,,,,
4,542,0.581626,0.162695,0.1285,0.127179,,,,,,,,
5,761,0.54123,0.136725,0.110936,0.083497,0.127612,,,,,,,
6,250,0.485958,0.11686,0.118678,0.092636,0.098099,0.087769,,,,,,
7,696,0.567119,0.105483,0.06286,0.039386,0.04196,0.033215,0.149977,,,,,
8,203,0.393168,0.105106,0.076606,0.072534,0.084563,0.06606,0.090302,0.11166,,,,
9,412,0.487276,0.105877,0.065923,0.051506,0.048924,0.043505,0.08587,0.021956,0.089164,,,
10,380,0.413407,0.091368,0.066981,0.049142,0.058505,0.053158,0.086858,0.027066,0.043412,0.110103,,
11,183,0.369134,0.081154,0.063266,0.061488,0.068428,0.054634,0.076575,0.029901,0.0371,0.060281,0.098038,
12,98,0.400273,0.060763,0.038618,0.040663,0.062544,0.073819,0.064353,0.03333,0.041378,0.044899,0.052555,0.086804
