Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
2,14,0.809604,0.190396,,,,,,,,,,
3,178,0.51764,0.223774,0.258586,,,,,,,,,
4,1467,0.45943,0.148122,0.151961,0.240487,,,,,,,,
5,690,0.374196,0.147731,0.143995,0.215344,0.118735,,,,,,,
6,331,0.325428,0.124408,0.125248,0.226622,0.113731,0.084563,,,,,,
7,339,0.345916,0.126487,0.120241,0.187985,0.065569,0.027873,0.125928,,,,,
8,270,0.26667,0.089587,0.08055,0.179066,0.071592,0.051215,0.090197,0.171124,,,,
9,474,0.274201,0.089962,0.112411,0.160733,0.063587,0.050678,0.069162,0.074194,0.105072,,,
10,254,0.242912,0.094604,0.100233,0.163463,0.054379,0.044753,0.082577,0.058171,0.065322,0.093587,,
11,256,0.245454,0.075043,0.085164,0.157881,0.065165,0.047678,0.075207,0.069266,0.050597,0.048208,0.080336,
12,46,0.207813,0.067295,0.052356,0.136478,0.066277,0.057958,0.081742,0.047179,0.087862,0.055377,0.067801,0.071863
