Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
1,15,1.0,,,,,,,,,,,
2,90,0.711393,0.288607,,,,,,,,,,
3,1945,0.551249,0.181568,0.267183,,,,,,,,,
4,836,0.447116,0.163198,0.269495,0.120192,,,,,,,,
5,734,0.391939,0.139502,0.237005,0.098929,0.132624,,,,,,,
6,493,0.337807,0.118517,0.203643,0.097601,0.132737,0.109696,,,,,,
7,572,0.363952,0.111738,0.206944,0.070062,0.063036,0.040655,0.143613,,,,,
8,247,0.281118,0.093387,0.205741,0.070298,0.08898,0.080003,0.082943,0.09753,,,,
9,727,0.313659,0.093263,0.204686,0.063871,0.066219,0.043692,0.072982,0.024154,0.117473,,,
10,432,0.274618,0.081871,0.181442,0.060399,0.07113,0.05115,0.077412,0.026877,0.075388,0.099714,,
11,244,0.243094,0.067085,0.167396,0.058122,0.072005,0.062222,0.069732,0.03285,0.077653,0.062667,0.087175,
12,126,0.232212,0.061199,0.144937,0.057403,0.057213,0.066498,0.066943,0.037335,0.082151,0.054184,0.052525,0.087399
