Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
2,3,0.731183,0.268817,,,,,,,,,,
5,5,0.334969,0.270527,0.083742,0.069349,0.241413,,,,,,,
6,1,0.424242,0.0,0.121212,0.242424,0.090909,0.121212,,,,,,
7,1308,0.253041,0.090038,0.057161,0.072539,0.033821,0.022244,0.471156,,,,,
8,260,0.223276,0.087671,0.076121,0.085207,0.094487,0.052363,0.299635,0.08124,,,,
9,310,0.224238,0.078523,0.070823,0.070751,0.05882,0.03934,0.347207,0.022516,0.087782,,,
10,275,0.208396,0.092695,0.075247,0.066382,0.066211,0.039103,0.284374,0.0293,0.049341,0.088949,,
11,196,0.192996,0.062315,0.05801,0.059186,0.046408,0.051426,0.314465,0.042707,0.048149,0.044062,0.080276,
12,52,0.191677,0.044699,0.0566,0.074323,0.053766,0.039027,0.329242,0.01766,0.044798,0.031846,0.029711,0.08665
