Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
2,2,0.725806,0.274194,,,,,,,,,,
3,1,0.548387,0.258065,0.193548,,,,,,,,,
4,11,0.520418,0.130302,0.195453,0.153827,,,,,,,,
5,13,0.443178,0.19171,0.110881,0.104663,0.149568,,,,,,,
6,17,0.262128,0.206193,0.162828,0.107315,0.141399,0.120138,,,,,,
7,116,0.29595,0.145788,0.112346,0.075629,0.131306,0.123101,0.11588,,,,,
8,814,0.301625,0.094832,0.072303,0.06032,0.088446,0.075168,0.067314,0.239991,,,,
9,287,0.2395,0.105065,0.083517,0.066348,0.076618,0.084247,0.069569,0.193072,0.082065,,,
10,288,0.229786,0.088887,0.065777,0.065481,0.065475,0.074685,0.077506,0.164922,0.050479,0.117003,,
11,267,0.250551,0.086599,0.049608,0.052664,0.058068,0.057868,0.06782,0.193283,0.04113,0.047601,0.094808,
12,82,0.190293,0.078153,0.055587,0.054246,0.05778,0.072532,0.064972,0.148205,0.050412,0.071313,0.068531,0.087976
