Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
3,4,0.390625,0.390625,0.21875,,,,,,,,,
6,1,0.548387,0.064516,0.064516,0.064516,0.193548,0.064516,,,,,,
7,26,0.400342,0.215503,0.102651,0.054053,0.029979,0.032173,0.165299,,,,,
8,2,0.241935,0.145161,0.096774,0.032258,0.129032,0.225806,0.064516,0.064516,,,,
9,49,0.278776,0.109506,0.095072,0.061632,0.078455,0.077512,0.105226,0.072305,0.121518,,,
10,719,0.245074,0.092631,0.086416,0.056235,0.058261,0.058012,0.054695,0.027706,0.082027,0.238942,,
11,209,0.204682,0.069785,0.087886,0.059924,0.063441,0.069637,0.055769,0.028555,0.066523,0.198865,0.094935,
12,72,0.196264,0.067959,0.0759,0.058868,0.058439,0.062365,0.052515,0.03196,0.058841,0.170637,0.075284,0.090968
