Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
1,29,1.0,,,,,,,,,,,
2,2978,0.70168,0.29832,,,,,,,,,,
3,1086,0.577579,0.285245,0.137176,,,,,,,,,
4,791,0.484749,0.253421,0.136862,0.124968,,,,,,,,
5,875,0.443884,0.21567,0.10492,0.096745,0.13878,,,,,,,
6,402,0.341211,0.190739,0.125238,0.121923,0.124765,0.096123,,,,,,
7,562,0.443036,0.211948,0.071516,0.056553,0.049276,0.027609,0.140061,,,,,
8,264,0.326322,0.181177,0.084264,0.071431,0.078206,0.05202,0.092492,0.114087,,,,
9,352,0.368645,0.190329,0.086139,0.058635,0.05497,0.041706,0.080885,0.027567,0.091124,,,
10,276,0.298157,0.163905,0.073056,0.064685,0.062105,0.042592,0.094248,0.031053,0.064044,0.106154,,
11,257,0.286484,0.154249,0.081441,0.068433,0.063848,0.042328,0.069737,0.031389,0.063103,0.051661,0.087328,
12,101,0.281335,0.141004,0.079805,0.071145,0.054668,0.050089,0.052269,0.017627,0.064366,0.053865,0.053383,0.080445
