Decklist.cycle_C,deck_count,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12
7,27,0.361195,0.16504,0.098344,0.099242,0.072983,0.059276,0.14392,,,,,
8,17,0.307367,0.089495,0.126603,0.118145,0.099318,0.059072,0.101091,0.098909,,,,
9,994,0.364371,0.077235,0.071791,0.051896,0.054012,0.038805,0.085237,0.022745,0.233908,,,
10,257,0.29117,0.091144,0.074672,0.052958,0.060667,0.037915,0.081826,0.028675,0.191713,0.08926,,
11,189,0.258461,0.077967,0.063291,0.059696,0.067933,0.044211,0.083234,0.024491,0.199871,0.04293,0.077915,
12,90,0.214778,0.074205,0.055456,0.046486,0.048082,0.067169,0.077974,0.028481,0.199069,0.042284,0.068375,0.077641
