Investigator,Slot,Mean
Mark Harrigan,Ally,2.6590760466589236
Mark Harrigan,Arcane,0.6020639282450586
Mark Harrigan,Body,1.0670880761070953
Mark Harrigan,Hand,5.463909698748241
Mark Harrigan,Tarot,0.08638241220394308
Kymani Jones,Accessory,1.5810152677295757
Kymani Jones,Ally,1.8849376619798015
Kymani Jones,Arcane,0.40270068407222165
Kymani Jones,Body,1.1202406605895803
Kymani Jones,Hand,5.436213868691715
Kymani Jones,Tarot,0.3038064158809389
Sister Mary,Accessory,1.8098680360537398
Sister Mary,Ally,2.1977726868631593
Sister Mary,Arcane,3.1728873739889494
Sister Mary,Body,1.0226479524893073
Sister Mary,Hand,5.690162694071069
Sister Mary,Tarot,0.10601873797550186
Parallel Monterey Jack,Accessory,4.187576764653608
Parallel Monterey Jack,Ally,1.9617696049316606
Parallel Monterey Jack,Arcane,1.0912609785907283
Parallel Monterey Jack,Body,0.6245466710927127
Parallel Monterey Jack,Hand,5.025209602998424
Parallel Monterey Jack,Tarot,0.0
Silas Marsh,Accessory,1.5256815534082235
Silas Marsh,Ally,2.158395150494237
Silas Marsh,Arcane,0.18779759473496735
Silas Marsh,Body,0.5816106151879442
Silas Marsh,Hand,5.31476291747378
Silas Marsh,Tarot,0.017808666787113795
Jim Culver,Accessory,1.9577664477250154
Jim Culver,Ally,2.4675000819570383
Jim Culver,Arcane,4.388615740759368
Jim Culver,Body,1.0774225738343997
Jim Culver,Hand,4.844584061392459
Jim Culver,Tarot,0.18960801998247243
Alessandra Zorzi,Accessory,1.4484536925828557
Alessandra Zorzi,Ally,1.8189738879737432
Alessandra Zorzi,Arcane,1.5200662995340812
Alessandra Zorzi,Body,1.956062831482177
Alessandra Zorzi,Hand,3.417403100919319
Alessandra Zorzi,Tarot,0.09167890648530663
Lola Hayes,Accessory,1.516842283034102
Lola Hayes,Ally,2.753444751601678
Lola Hayes,Arcane,1.5157861985098275
Lola Hayes,Body,1.0506444919117952
Lola Hayes,Hand,5.257425628525099
Lola Hayes,Tarot,0.2828741200768916
Finn Edwards,Accessory,1.3451326305483582
Finn Edwards,Ally,2.247258008493522
Finn Edwards,Arcane,0.10729014107751193
Finn Edwards,Body,0.8256497491444337
Finn Edwards,Hand,5.646718617694428
Finn Edwards,Tarot,0.053778908066833636
Subject 5U-21,Accessory,2.242076336701504
Subject 5U-21,Ally,3.2648546023706198
Subject 5U-21,Arcane,4.13033693282674
Subject 5U-21,Body,1.6160948997467786
Subject 5U-21,Hand,7.933587554973419
Subject 5U-21,Tarot,0.09407496461615864
Zoey Samaras,Accessory,1.7903109286711174
Zoey Samaras,Ally,2.7490759799582323
Zoey Samaras,Arcane,1.3507902801969602
Zoey Samaras,Body,1.3125845187494685
Zoey Samaras,Hand,5.650545351397207
Zoey Samaras,Tarot,0.14070505272383518
Patrice Hathaway,Accessory,1.698219380878225
Patrice Hathaway,Ally,2.3381569482263043
Patrice Hathaway,Arcane,3.688722939230101
Patrice Hathaway,Body,0.9264540962017553
Patrice Hathaway,Hand,3.2711716359289946
Patrice Hathaway,Tarot,0.16812174991432072
Lily Chen,Accessory,1.7089132795273214
Lily Chen,Ally,1.8610782365684195
Lily Chen,Arcane,4.6921480540901825
Lily Chen,Body,1.2335861911560908
Lily Chen,Hand,5.630556570726033
Lily Chen,Tarot,0.22497723482197732
Parallel Jim Culver,Accessory,1.9212847124156474
Parallel Jim Culver,Ally,1.9528019415430915
Parallel Jim Culver,Arcane,4.872908414107002
Parallel Jim Culver,Body,0.9188342485435965
Parallel Jim Culver,Hand,3.45191016218713
Parallel Jim Culver,Tarot,0.24416415952933782
Kate Winthrop,Accessory,1.660029712206515
Kate Winthrop,Ally,2.753618202132472
Kate Winthrop,Arcane,0.8798350211618197
Kate Winthrop,Body,0.41908596918955254
Kate Winthrop,Hand,4.735198795496096
Kate Winthrop,Tarot,0.06552054426965523
Diana Stanley,Accessory,1.9107343108207906
Diana Stanley,Ally,2.3361071290514253
Diana Stanley,Arcane,4.933174819122337
Diana Stanley,Body,0.8890182167398913
Diana Stanley,Hand,4.396903663771016
Diana Stanley,Tarot,0.13692606111313477
Darrell Simmons,Accessory,1.1084599052623567
Darrell Simmons,Ally,1.9821371709090179
Darrell Simmons,Arcane,0.34003587625378323
Darrell Simmons,Body,0.7619576422266321
Darrell Simmons,Hand,4.105253236638088
Darrell Simmons,Tarot,0.3465022630357248
Mandy Thompson,Accessory,1.7718766677639273
Mandy Thompson,Ally,4.522356691099643
Mandy Thompson,Arcane,0.7912658167633884
Mandy Thompson,Body,0.81556688566742
Mandy Thompson,Hand,5.8146149944615955
Mandy Thompson,Tarot,0.11653404329315654
Jenny Barnes,Accessory,1.166809248795343
Jenny Barnes,Ally,2.2625319925025074
Jenny Barnes,Arcane,0.26043166633159437
Jenny Barnes,Body,1.2131467836200533
Jenny Barnes,Hand,5.322873721369925
Jenny Barnes,Tarot,0.07322425134460678
Marie Lambeau,Accessory,1.5400083146492807
Marie Lambeau,Ally,4.570111415973827
Marie Lambeau,Arcane,3.9366598828101664
Marie Lambeau,Body,0.5163802858327627
Marie Lambeau,Hand,3.655507086866588
Marie Lambeau,Tarot,0.17708398147119
Michael McGlen,Accessory,1.4727272727272718
Michael McGlen,Ally,2.2727272727272725
Michael McGlen,Arcane,0.16363636363636347
Michael McGlen,Body,1.5818181818181816
Michael McGlen,Hand,8.581818181818175
Michael McGlen,Tarot,0.0
Luke Robinson,Accessory,1.527324598714351
Luke Robinson,Ally,2.436416065777262
Luke Robinson,Arcane,2.984608099009423
Luke Robinson,Body,0.3659903521700532
Luke Robinson,Hand,3.0796777401976496
Luke Robinson,Tarot,0.21649603335452747
Bob Jenkins,Accessory,1.4663293584765347
Bob Jenkins,Ally,2.25701768377862
Bob Jenkins,Arcane,0.5083386118932808
Bob Jenkins,Body,1.829745130494495
Bob Jenkins,Hand,5.48708163140027
Bob Jenkins,Tarot,0.0
"""Skids"" O'Toole",Accessory,1.1407940133094112
"""Skids"" O'Toole",Ally,2.4633867434395094
"""Skids"" O'Toole",Arcane,0.489745798797038
"""Skids"" O'Toole",Body,0.8755491834343877
"""Skids"" O'Toole",Hand,5.438003588241494
"""Skids"" O'Toole",Tarot,0.2899375685745742
Tommy Muldoon,Accessory,1.6790726730598173
Tommy Muldoon,Ally,4.7958684445332
Tommy Muldoon,Arcane,0.6231193337302626
Tommy Muldoon,Body,1.7779537074998726
Tommy Muldoon,Hand,6.622530315270588
Tommy Muldoon,Tarot,0.24717212753041437
Agatha Crane,Accessory,1.851851851851853
Agatha Crane,Ally,2.777777777777779
Agatha Crane,Arcane,4.037037037037038
Agatha Crane,Body,0.6666666666666669
Agatha Crane,Hand,3.407407407407408
Agatha Crane,Tarot,0.03703703703703705
Father Mateo,Accessory,2.023364158368535
Father Mateo,Ally,2.05245390548641
Father Mateo,Arcane,6.315277718534126
Father Mateo,Body,0.6721182147740999
Father Mateo,Hand,4.326397912582912
Father Mateo,Tarot,0.2636241016668946
Carolyn Fern,Accessory,1.5588235348219774
Carolyn Fern,Ally,3.01517472595437
Carolyn Fern,Arcane,1.415985357708286
Carolyn Fern,Body,0.5832370689641214
Carolyn Fern,Hand,3.9944823986105367
Carolyn Fern,Tarot,0.21510735592838934
William Yorick,Accessory,2.0965682684720632
William Yorick,Ally,2.746120811392308
William Yorick,Arcane,0.6463279148357219
William Yorick,Body,1.8914825327756268
William Yorick,Hand,6.47597990624533
William Yorick,Tarot,0.12266483130275646
