Investigator,Pack,Card_Code,Card,Index,Score,Mean,Slot,Faction,Decks,Recent Decks
Roland Banks,40-tcu,05022,Steadfast,2,0.6334645674420247,0.08063396555318263,,Guardian,43.91123031861466,28.800012881815476
Roland Banks,00-core,01019,First Aid,1,0.6333168936113708,0.09542535653881468,,Guardian,44.49398751695379,28.800012881815476
Roland Banks,80-eoep,08021,"""Get behind me!""",1,0.6296309788346975,0.07777891466196367,,Guardian,36.006981983847446,28.800012881815476
Roland Banks,90-tskp,09021,Hunter's Armor,1,0.6281543005757436,0.07638896654254505,Body,Guardian,28.800012881815476,28.800012881815476
Roland Banks,00-core,01092,Manual Dexterity,1,0.6272004657395177,0.0867750340905559,,Neutral,44.49398751695379,28.800012881815476
Roland Banks,60-nat,60117,One-Two Punch,2,0.6199327922031505,0.08119621274156605,,Guardian,42.01482682941456,28.800012881815476
Roland Banks,42-wos,05151,Alice Luxley: Fearless Flatfoot,1,0.6174182320694224,0.07671618922421347,Ally,Guardian,43.61919259838479,28.800012881815476
Roland Banks,16-litas,02302,Dr. William T. Maleson: Working on Something Big,1,0.6159187635492361,0.08140126002483528,Ally,Seeker,44.448147909366384,28.800012881815476
Roland Banks,40-tcu,05020,Interrogate,1,0.6093628034374362,0.06476181917425064,,Guardian,43.91123031861466,28.800012881815476
Roland Banks,52-tsh,06155,Tetsuo Mori: Too Noble for His Own Good,2,0.6067786594901519,0.06738516923720475,Ally,Guardian,42.74197271764021,28.800012881815476
Roland Banks,51-sfk,06111,Daring,2,0.6055068306326499,0.07444683290892566,,Guardian,42.82751929272558,28.800012881815476
Roland Banks,50-tde,06023,Astounding Revelation,1,0.6044048588241323,0.08352572200589617,,Seeker,42.99861244289632,28.800012881815476
Roland Banks,90-tskp,09121,Refine,2,0.5999112454249688,0.06944441338298198,,Neutral,28.800012881815476,28.800012881815476
Roland Banks,00-books,98005,Mysteries Remain,1,0.5995876873308217,0.0748355468665332,,Neutral,44.49398751695379,28.800012881815476
Roland Banks,90-tskp,09048,Map the Area,1,0.5989684154741762,0.06944441338298198,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09048,Map the Area,2,0.5989684154741762,0.06944441338298198,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09022,Runic Axe ,1,0.5989684154741762,0.06944441338298198,Hand x2,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09022,Runic Axe ,2,0.5989684154741762,0.06944441338298198,Hand x2,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09027,Grievous Wound,1,0.5984284545984846,0.06944441338298198,,Guardian,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09047,Captivating Discovery,1,0.5984284545984846,0.06944441338298198,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,90-tskp,09049,Analysis,1,0.5984284545984846,0.06944441338298198,,Seeker,28.800012881815476,28.800012881815476
Roland Banks,42-wos,05151,Alice Luxley: Fearless Flatfoot,2,0.5978517020668057,0.06599886367162393,Ally,Guardian,43.61919259838479,28.800012881815476
Roland Banks,30-tfa,04037,Backpack,1,0.5961209195466672,0.07201052299778055,Body,Neutral,44.30288365884679,28.800012881815476
Roland Banks,13-bota,02186,Preposterous Sketches,2,0.5937858224755296,0.06910685301312666,,Seeker,44.471812371139194,28.800012881815476
Roland Banks,60-nat,60116,Monster Slayer,1,0.591622427899963,0.06878075241291298,,Guardian,42.01482682941456,28.800012881815476
Roland Banks,42-wos,05154,Hawk-Eye Folding Camera,1,0.5889586561429827,0.06328653322690161,Hand,Seeker,43.61919259838479,28.800012881815476
Roland Banks,60-nat,60116,Monster Slayer,2,0.5877657798057323,0.06702814261349907,,Guardian,42.01482682941456,28.800012881815476
Roland Banks,00-core,01092,Manual Dexterity,2,0.586915522421705,0.06719093044348294,,Neutral,44.49398751695379,28.800012881815476
Roland Banks,20-ptc,03026,No Stone Unturned,1,0.5860099906790135,0.06667532318105343,,Seeker,44.43962870312817,28.800012881815476
Roland Banks,20-ptc,03026,No Stone Unturned,2,0.5835010607331237,0.06539542103511893,,Seeker,44.43962870312817,28.800012881815476
Roland Banks,30-tfa,04037,Backpack,2,0.5753969601139597,0.06285919550887532,Body,Neutral,44.30288365884679,28.800012881815476
Roland Banks,20-ptc,03022,"""Let me handle this!""",1,0.5720235781021297,0.07239638016415725,,Guardian,44.43962870312817,28.800012881815476
Roland Banks,60-nat,60105,Boxing Gloves,1,0.570398612198601,0.060007320300365354,Hand x2,Guardian,42.01482682941456,28.800012881815476
Roland Banks,60-nat,60105,Boxing Gloves,2,0.5660763264182479,0.05825471050095144,Hand x2,Guardian,42.01482682941456,28.800012881815476
Roland Banks,41-tsn,05118,Enchanted Blade,2,0.561495842151978,0.06730778440334427,Hand. Arcane,Mystic,43.82909470980002,28.800012881815476
Roland Banks,60-har,60207,Disc of Itzamna: Protective Amulet,1,0.5613566581557614,0.05725198009944496,Accessory,Seeker,42.01482682941456,28.800012881815476
Roland Banks,35-tdoy,04265,Handcuffs,1,0.5582822933500159,0.05760178129698437,,Guardian,43.977292327810446,28.800012881815476
