Investigator,Slot,Mean
Bob Jenkins,Tarot,0.0
Subject 5U-21,Accessory,2.367491851814112
Subject 5U-21,Ally,3.483667991858623
Subject 5U-21,Arcane,2.776384831039008
Subject 5U-21,Body,1.6102924481442114
Subject 5U-21,Hand,8.41573671687113
Subject 5U-21,Tarot,0.0
Jenny Barnes,Accessory,0.9161467647504865
Jenny Barnes,Ally,2.0371645656833794
Jenny Barnes,Arcane,0.19306498871074404
Jenny Barnes,Body,0.8656418507266544
Jenny Barnes,Hand,5.779526082877131
Jenny Barnes,Tarot,0.02629278590068194
Finn Edwards,Accessory,1.195090822324813
Finn Edwards,Ally,2.023575772365264
Finn Edwards,Arcane,0.08142346910346619
Finn Edwards,Body,0.7668124322589839
Finn Edwards,Hand,5.523615320325414
Finn Edwards,Tarot,0.02903642191615102
Michael McGlen,Accessory,1.6304347826086951
Michael McGlen,Ally,2.2608695652173907
Michael McGlen,Arcane,0.10869565217391297
Michael McGlen,Body,1.2391304347826075
Michael McGlen,Hand,8.34782608695652
Michael McGlen,Tarot,0.0
Parallel Jenny Barnes,Accessory,0.875
Parallel Jenny Barnes,Ally,1.25
Parallel Jenny Barnes,Arcane,0.0
Parallel Jenny Barnes,Body,0.125
Parallel Jenny Barnes,Hand,5.25
Parallel Jenny Barnes,Tarot,0.0
Amanda Sharpe,Accessory,0.6183949110670438
Amanda Sharpe,Ally,2.736032783881474
Amanda Sharpe,Arcane,1.0014342905206501
Amanda Sharpe,Body,0.052685340733469366
Amanda Sharpe,Hand,3.7237383620689695
Amanda Sharpe,Tarot,0.003707004973820031
Mandy Thompson,Accessory,1.8241499206745493
Mandy Thompson,Ally,4.449802028058916
Mandy Thompson,Arcane,0.8062034438597097
Mandy Thompson,Body,0.8709306552539564
Mandy Thompson,Hand,5.862639989079954
Mandy Thompson,Tarot,0.0010381548418798114
Father Mateo,Accessory,2.73005023824076
Father Mateo,Ally,1.5481758797650553
Father Mateo,Arcane,8.204649143699159
Father Mateo,Body,1.3799136283999511
Father Mateo,Hand,4.833819261799336
Father Mateo,Tarot,0.0
Patrice Hathaway,Accessory,1.8574494747935506
Patrice Hathaway,Ally,1.978510207344247
Patrice Hathaway,Arcane,2.954015155608604
Patrice Hathaway,Body,0.7396803270686065
Patrice Hathaway,Hand,4.325356585033565
Patrice Hathaway,Tarot,0.02160808119146094
"""Skids"" O'Toole",Accessory,0.8906712097065459
"""Skids"" O'Toole",Ally,2.175310244526659
"""Skids"" O'Toole",Arcane,0.2079439559879625
"""Skids"" O'Toole",Body,0.704743722293981
"""Skids"" O'Toole",Hand,5.551828390546465
"""Skids"" O'Toole",Tarot,0.0
Parallel Rex Murphy,Accessory,1.0
Parallel Rex Murphy,Ally,3.5
Parallel Rex Murphy,Arcane,0.3333333333333333
Parallel Rex Murphy,Body,0.3333333333333333
Parallel Rex Murphy,Hand,3.6666666666666665
Parallel Rex Murphy,Tarot,0.0
Jim Culver,Accessory,1.9113139502593528
Jim Culver,Ally,2.3823275992839967
Jim Culver,Arcane,4.502091737482572
Jim Culver,Body,1.1931359104480117
Jim Culver,Hand,4.729030275646227
Jim Culver,Tarot,0.1346072539397482
Agnes Baker,Accessory,2.571683324343518
Agnes Baker,Ally,2.5635997942026667
Agnes Baker,Arcane,5.180773593941745
Agnes Baker,Body,0.9470335462123812
Agnes Baker,Hand,2.5285692288691446
Agnes Baker,Tarot,0.003411758444702477
Dexter Drake,Accessory,1.844350205608137
Dexter Drake,Ally,2.6920802614666375
Dexter Drake,Arcane,6.007288222767852
Dexter Drake,Body,0.9986642606673957
Dexter Drake,Hand,4.3273420559501625
Dexter Drake,Tarot,0.031807061473522524
Jacqueline Fine,Accessory,1.8519111297997384
Jacqueline Fine,Ally,2.271969445419736
Jacqueline Fine,Arcane,5.692430871520616
Jacqueline Fine,Body,1.1429193754474027
Jacqueline Fine,Hand,3.0294235537561067
Jacqueline Fine,Tarot,0.0789622157169848
Calvin Wright,Accessory,1.4776012296270833
Calvin Wright,Ally,2.6349489272196576
Calvin Wright,Arcane,1.074433171998131
Calvin Wright,Body,0.9558038781196205
Calvin Wright,Hand,3.3418059653792795
Calvin Wright,Tarot,0.34738152138188333
Amina Zidane,Accessory,2.0604306130096304
Amina Zidane,Ally,2.325297059972452
Amina Zidane,Arcane,4.117973679647388
Amina Zidane,Body,1.2018650033212783
Amina Zidane,Hand,4.580838080462806
Amina Zidane,Tarot,0.060430613009629985
Joe Diamond,Accessory,1.0830254241001473
Joe Diamond,Ally,2.9438648737048085
Joe Diamond,Arcane,0.6048418601545202
Joe Diamond,Body,1.018917462149395
Joe Diamond,Hand,8.959801938526887
Joe Diamond,Tarot,0.003556507995743888
Carson Sinclair,Accessory,0.7314738404320166
Carson Sinclair,Ally,1.9252144752310618
Carson Sinclair,Arcane,0.21980732235187528
Carson Sinclair,Body,1.102219038018042
Carson Sinclair,Hand,2.8340345485880194
Carson Sinclair,Tarot,0.08309618259808592
Roland Banks,Accessory,0.9923135126850857
Roland Banks,Ally,2.8881518448138404
Roland Banks,Arcane,0.5167395848740888
Roland Banks,Body,0.7212382155769987
Roland Banks,Hand,7.043222697909097
Roland Banks,Tarot,0.06136935732268508
Trish Scarborough,Accessory,1.145897358445824
Trish Scarborough,Ally,2.138618104808925
Trish Scarborough,Arcane,0.8423738931312085
Trish Scarborough,Body,0.6816254385034893
Trish Scarborough,Hand,3.762584704364032
Trish Scarborough,Tarot,0.006501181172075739
Akachi Onyele,Accessory,1.954334478829019
Akachi Onyele,Ally,2.184328192419891
Akachi Onyele,Arcane,7.727393919649678
Akachi Onyele,Body,1.2486675267162506
Akachi Onyele,Hand,3.5443367435847977
Akachi Onyele,Tarot,0.03098476813417711
Carolyn Fern,Accessory,1.6785663527766614
Carolyn Fern,Ally,2.9731910214109933
Carolyn Fern,Arcane,1.2460668984327852
Carolyn Fern,Body,0.6434371518324441
Carolyn Fern,Hand,4.370435217889578
Carolyn Fern,Tarot,0.1025069014734896
Lily Chen,Accessory,1.6992379991840587
Lily Chen,Ally,1.798610995866305
Lily Chen,Arcane,5.523422789375032
Lily Chen,Body,1.227448492941636
Lily Chen,Hand,5.583892475778963
Lily Chen,Tarot,0.14763414173620842
Marion Tavares,Accessory,1.0333333333333332
Marion Tavares,Ally,2.0333333333333337
Marion Tavares,Arcane,0.33333333333333337
Marion Tavares,Body,0.5
Marion Tavares,Hand,2.5666666666666673
Marion Tavares,Tarot,0.06666666666666668
Parallel Father Mateo,Accessory,1.0
Parallel Father Mateo,Ally,0.0
Parallel Father Mateo,Arcane,2.0
Parallel Father Mateo,Body,2.0
Parallel Father Mateo,Hand,3.0
Parallel Father Mateo,Tarot,0.0
Parallel Jim Culver,Accessory,2.06195308916613
Parallel Jim Culver,Ally,1.583477104682803
Parallel Jim Culver,Arcane,5.944343418029225
Parallel Jim Culver,Body,0.7668898511557881
Parallel Jim Culver,Hand,2.9709484485019106
Parallel Jim Culver,Tarot,0.0
Leo Anderson,Accessory,1.206490674154655
Leo Anderson,Ally,6.750444127045
Leo Anderson,Arcane,0.41926578870733555
Leo Anderson,Body,0.7538786571259876
Leo Anderson,Hand,5.090752792067004
Leo Anderson,Tarot,0.00043863596077894034
Mark Harrigan,Accessory,1.2688101738457094
Mark Harrigan,Ally,2.641768939479973
Mark Harrigan,Arcane,0.3587050062474066
Mark Harrigan,Body,1.1310749176298758
Mark Harrigan,Hand,5.213276040118101
Mark Harrigan,Tarot,0.007118476772419741
Lucius Galloway,Accessory,1.5000000000000002
Lucius Galloway,Ally,2.4166666666666674
Lucius Galloway,Arcane,0.0
Lucius Galloway,Body,0.7500000000000001
Lucius Galloway,Hand,5.416666666666668
Lucius Galloway,Tarot,0.0
Nathaniel Cho,Accessory,0.8588582864781961
Nathaniel Cho,Ally,2.7083290421863464
Nathaniel Cho,Arcane,0.5548109433429713
Nathaniel Cho,Body,0.7712966931879961
Nathaniel Cho,Hand,4.942878964338829
Nathaniel Cho,Tarot,0.04711435062790984
Alessandra Zorzi,Accessory,1.3517367142001504
Alessandra Zorzi,Ally,1.6636178582604468
Alessandra Zorzi,Arcane,1.438273140679005
Alessandra Zorzi,Body,1.8677314474278535
Alessandra Zorzi,Hand,3.7145633577301718
Alessandra Zorzi,Tarot,0.07805318383719953
Tony Morgan,Accessory,1.5810227709939029
Tony Morgan,Ally,2.1244476490435575
Tony Morgan,Arcane,0.10034111912592744
Tony Morgan,Body,1.2047321639973467
Tony Morgan,Hand,6.139507765547126
Tony Morgan,Tarot,0.0038438979138262913
Harvey Walters,Accessory,1.0060764989317899
Harvey Walters,Ally,3.204115971128673
Harvey Walters,Arcane,2.130747723718723
Harvey Walters,Body,0.3222166000039282
